Disease,dataset,n_genes_total,n_genes_with_pubmed,coverage_pubmed,median_pubmed,mean_pubmed,p90_pubmed,gini_pubmed,median_rank,frac_in_top500,frac_in_top2000,frac_in_top10000,top_genes
Gray platelet syndrome,knowledge_filtered,2,2,1.0,59.0,59.0,77.4,0.19491525423728806,8553.5,0.0,0.0,0.5,KAT6B(82); NBEAL2(36)
Roberts syndrome,knowledge_filtered,1,1,1.0,59.0,59.0,59.0,0.0,7889.0,0.0,0.0,1.0,ESCO2(59)
Isolated sulfite oxidase deficiency,knowledge_filtered,1,1,1.0,59.0,59.0,59.0,0.0,7902.0,0.0,0.0,1.0,SUOX(59)
Hyperlysinemia,knowledge_filtered,1,1,1.0,59.0,59.0,59.0,0.0,7933.0,0.0,0.0,1.0,AASS(59)
Neuronal ceroid lipofuscinosis 5,knowledge_filtered,1,1,1.0,59.0,59.0,59.0,0.0,7943.0,0.0,0.0,1.0,CLN5(59)
Primary hyperoxaluria,knowledge_filtered,3,3,1.0,58.0,71.66666666666667,109.2,0.26976744186046514,8055.0,0.0,0.0,0.6666666666666666,AGXT(122); GRHPR(58); HOGA1(35)
Chromosome 18q deletion syndrome,knowledge_filtered,3,3,1.0,58.0,114.0,235.10000000000005,0.4638157894736842,8068.0,0.0,0.25,0.75,TCF4(311); ABAT(58); ABAT(58); TSHZ1(29)
Mitochondrial DNA depletion syndrome 2,knowledge_filtered,1,1,1.0,58.0,58.0,58.0,0.0,8030.0,0.0,0.0,1.0,TK2(58)
Focal dermal hypoplasia,knowledge_filtered,1,1,1.0,58.0,58.0,58.0,0.0,7987.0,0.0,0.0,1.0,PORCN(58)
GABA aminotransferase deficiency,knowledge_filtered,1,1,1.0,58.0,58.0,58.0,0.0,8068.0,0.0,0.0,1.0,ABAT(58)
Edwards syndrome,knowledge_filtered,1,1,1.0,58.0,58.0,58.0,0.0,8068.0,0.0,0.0,1.0,ABAT(58)
Mitochondrial DNA depletion syndrome 3,knowledge_filtered,1,1,1.0,57.0,57.0,57.0,0.0,8155.0,0.0,0.0,1.0,DGUOK(57)
Mucosulfatidosis,knowledge_filtered,1,1,1.0,57.0,57.0,57.0,0.0,8112.0,0.0,0.0,1.0,SUMF1(57)
Mitochondrial DNA depletion syndrome 6,knowledge_filtered,1,1,1.0,57.0,57.0,57.0,0.0,8190.0,0.0,0.0,1.0,MPV17(57)
Combined oxidative phosphorylation deficiency 12,knowledge_filtered,1,1,1.0,57.0,57.0,57.0,0.0,8176.0,0.0,0.0,1.0,EARS2(57)
Congenital disorder of glycosylation,knowledge_filtered,57,54,0.9473684210526315,56.5,78.5,149.4,0.34872393034695465,8229.5,0.0,0.037037037037037035,0.7777777777777778,CAD(285); DDOST(210); ATP6AP2(178); DPM1(168); STT3A(165)
Retinitis pigmentosa,knowledge_filtered,111,108,0.972972972972973,56.0,99.47402597402598,201.60000000000014,0.4784750793302266,8237.0,0.01948051948051948,0.09740259740259741,0.6948051948051948,AHR(805); PROM1(631); PROM1(631); PRPF8(354); PRPF8(354)
