Disease,median_pubmed_filtered,mean_pubmed_filtered,n_genes_with_pubmed_filtered,coverage_filtered,median_pubmed_full,mean_pubmed_full,n_genes_with_pubmed_full,coverage_full,delta_median_full_minus_filtered,delta_mean_full_minus_filtered
Sturge-Weber syndrome,240.5,240.5,2.0,1.0,240.5,240.5,2,1.0,0.0,0.0
Spinocerebellar ataxia type 2,291.0,291.0,1.0,1.0,291.0,291.0,1,1.0,0.0,0.0
Spinocerebellar ataxia type 36,251.0,251.0,1.0,1.0,251.0,251.0,1,1.0,0.0,0.0
Spinocerebellar ataxia type 6,274.0,274.0,1.0,1.0,274.0,274.0,1,1.0,0.0,0.0
Spinocerebellar ataxia with axonal neuropathy 2,117.0,344.8,5.0,1.0,117.0,344.8,5,1.0,0.0,0.0
Spondylocarpotarsal synostosis syndrome,160.0,160.0,2.0,1.0,160.0,160.0,2,1.0,0.0,0.0
Spondylocostal dysostosis,23.0,27.428571428571427,6.0,1.0,23.0,27.428571428571427,6,1.0,0.0,0.0
Spondyloepiphyseal dysplasia congenita,381.0,381.0,1.0,1.0,381.0,381.0,1,1.0,0.0,0.0
Spondyloepiphyseal dysplasia with congenital joint dislocations,45.0,45.0,1.0,1.0,45.0,45.0,1,1.0,0.0,0.0
Spondyloperipheral dysplasia,381.0,381.0,1.0,1.0,381.0,381.0,1,1.0,0.0,0.0
Stargardt disease,198.0,198.0,2.0,1.0,198.0,198.0,2,1.0,0.0,0.0
Steatocystoma multiplex,215.0,215.0,1.0,1.0,215.0,215.0,1,1.0,0.0,0.0
Stevens-Johnson syndrome,2215.0,2215.0,1.0,1.0,2215.0,2215.0,1,1.0,0.0,0.0
Stickler syndrome,68.0,115.75,7.0,1.0,68.0,115.75,7,1.0,0.0,0.0
Stormorken syndrome,545.0,545.0,1.0,1.0,545.0,545.0,1,1.0,0.0,0.0
Subcortical band heterotopia,165.0,165.0,2.0,1.0,165.0,165.0,2,1.0,0.0,0.0
Spinal muscular atrophy with progressive myoclonic epilepsy,120.0,120.0,1.0,1.0,120.0,120.0,1,1.0,0.0,0.0
Succinic semialdehyde dehydrogenase deficiency,104.0,104.0,1.0,1.0,104.0,104.0,1,1.0,0.0,0.0
Supravalvular aortic stenosis,311.0,311.0,1.0,1.0,311.0,311.0,1,1.0,0.0,0.0
Syndromic X-linked intellectual disability Lubs type,736.0,736.0,1.0,1.0,736.0,736.0,1,1.0,0.0,0.0
Syndromic X-linked intellectual disability Siderius type,122.0,122.0,1.0,1.0,122.0,122.0,1,1.0,0.0,0.0
Syndromic X-linked intellectual disability Snyder type,64.0,64.0,1.0,1.0,64.0,64.0,1,1.0,0.0,0.0
Syndromic microphthalmia 2,198.0,198.0,1.0,1.0,198.0,198.0,1,1.0,0.0,0.0
Syndromic microphthalmia 3,815.0,815.0,1.0,1.0,815.0,815.0,1,1.0,0.0,0.0
Systemic lupus erythematosus,245.0,389.35,27.0,1.0,245.0,389.35,27,1.0,0.0,0.0
Systemic mastocytosis,541.5,625.0,6.0,1.0,541.5,625.0,6,1.0,0.0,0.0
Systemic primary carnitine deficiency disease,199.0,199.0,1.0,1.0,199.0,199.0,1,1.0,0.0,0.0
Systemic scleroderma,225.0,255.16666666666666,6.0,1.0,225.0,255.16666666666666,6,1.0,0.0,0.0
"T-cell immunodeficiency, congenital alopecia, and nail dystrophy",37.0,37.0,1.0,1.0,37.0,37.0,1,1.0,0.0,0.0
Tangier disease,849.0,849.0,1.0,1.0,849.0,849.0,1,1.0,0.0,0.0
Tatton-Brown-Rahman syndrome,612.0,612.0,1.0,1.0,612.0,612.0,1,1.0,0.0,0.0
Spinocerebellar ataxia type 1,169.0,169.0,1.0,1.0,169.0,169.0,1,1.0,0.0,0.0
Spinal muscular atrophy with lower extremity predominant,234.0,234.0,2.0,1.0,234.0,234.0,2,1.0,0.0,0.0
Schuurs-Hoeijmakers Syndrome,82.0,82.0,1.0,1.0,82.0,82.0,1,1.0,0.0,0.0
Sialuria,147.0,147.0,1.0,1.0,147.0,147.0,1,1.0,0.0,0.0
Schwannomatosis,405.0,335.0,3.0,1.0,405.0,352.5,3,1.0,0.0,17.5
Schwartz-Jampel syndrome 1,211.0,211.0,1.0,1.0,211.0,211.0,1,1.0,0.0,0.0
Seasonal affective disorder,169.5,254.83333333333334,6.0,0.8571428571428571,169.5,254.83333333333334,6,0.8571428571428571,0.0,0.0
Seborrheic keratosis,289.5,353.1666666666667,6.0,1.0,289.5,353.1666666666667,6,1.0,0.0,0.0
Senile Seminal Vesicle Amyloidosis,95.0,95.0,1.0,1.0,95.0,95.0,1,1.0,0.0,0.0
Senior-Loken syndrome,68.5,86.3,6.0,1.0,68.5,86.3,6,1.0,0.0,0.0
"Sensory ataxic neuropathy, dysarthria, and ophthalmoparesis",244.5,244.5,2.0,1.0,244.5,244.5,2,1.0,0.0,0.0
Sepiapterin reductase deficiency,65.0,65.0,1.0,1.0,65.0,65.0,1,1.0,0.0,0.0
Septooptic dysplasia,98.5,265.5,4.0,1.0,98.5,265.5,4,1.0,0.0,0.0
Severe congenital encephalopathy due to MECP2 mutation,736.0,736.0,1.0,1.0,736.0,736.0,1,1.0,0.0,0.0
Severe congenital neutropenia,98.0,155.0,9.0,1.0,98.0,155.0,9,1.0,0.0,0.0
Short QT syndrome,517.0,475.25,4.0,1.0,517.0,475.25,4,1.0,0.0,0.0
Short chain acyl-CoA dehydrogenase deficiency,69.0,69.0,1.0,1.0,69.0,69.0,1,1.0,0.0,0.0
Shwachman-Diamond syndrome,85.0,81.75,4.0,1.0,85.0,81.75,4,1.0,0.0,0.0
Sick sinus syndrome,100.0,306.0,3.0,1.0,100.0,306.0,3,1.0,0.0,0.0
Spina bifida,3862.0,3862.0,1.0,1.0,3862.0,3862.0,1,1.0,0.0,0.0
Sickle cell disease,871.0,871.0,1.0,1.0,871.0,871.0,1,1.0,0.0,0.0
Sideroblastic anemia 1,76.0,76.0,1.0,1.0,76.0,76.0,1,1.0,0.0,0.0
"Sideroblastic anemia with B-cell immunodeficiency, periodic fevers, and developmental delay",63.0,63.0,1.0,1.0,63.0,63.0,1,1.0,0.0,0.0
Silver-Russell syndrome,532.0,441.2,5.0,1.0,532.0,441.2,5,1.0,0.0,0.0
Simpson-Golabi-Behmel syndrome type 1,101.5,132.75,4.0,1.0,101.5,132.75,4,1.0,0.0,0.0
Sitosterolemia,131.0,131.0,2.0,1.0,131.0,131.0,2,1.0,0.0,0.0
Sjogren's syndrome,663.0,663.0,1.0,1.0,663.0,663.0,1,1.0,0.0,0.0
Sjogren-Larsson syndrome,180.0,180.0,1.0,1.0,180.0,180.0,1,1.0,0.0,0.0
Sly syndrome,92.0,92.0,1.0,1.0,92.0,92.0,1,1.0,0.0,0.0
Smith-Lemli-Opitz syndrome,222.0,222.0,1.0,1.0,222.0,222.0,1,1.0,0.0,0.0
Smith-Magenis syndrome,99.0,99.0,1.0,1.0,99.0,99.0,1,1.0,0.0,0.0
Sotos syndrome,156.0,156.0,1.0,1.0,156.0,156.0,1,1.0,0.0,0.0
Spermatogenic failure 5,80.0,80.0,1.0,1.0,80.0,80.0,1,1.0,0.0,0.0
Spermatogenic failure 9,26.0,26.0,1.0,1.0,26.0,26.0,1,1.0,0.0,0.0
Klippel-Feil syndrome,41.5,40.75,4.0,1.0,41.5,40.75,4,1.0,0.0,0.0
Kallmann syndrome,88.0,133.7560975609756,24.0,1.0,88.0,133.7560975609756,24,1.0,0.0,0.0
Kleefstra syndrome,159.0,159.0,1.0,1.0,159.0,159.0,1,1.0,0.0,0.0
Chromosome 17q12 deletion syndrome,172.5,172.5,2.0,1.0,172.5,172.5,2,1.0,0.0,0.0
Char syndrome,110.0,110.0,1.0,1.0,110.0,110.0,1,1.0,0.0,0.0
Charcot-Marie-Tooth disease,125.0,189.71942446043167,85.0,0.9770114942528736,125.0,188.979020979021,85,0.9770114942528736,0.0,-0.7404034814106808
Charcot-Marie-Tooth disease type 3,182.0,163.25,4.0,1.0,182.0,163.25,4,1.0,0.0,0.0
Charlevoix-Saguenay spastic ataxia,124.0,124.0,1.0,1.0,124.0,124.0,1,1.0,0.0,0.0
Chediak-Higashi syndrome,66.0,66.0,1.0,1.0,66.0,66.0,1,1.0,0.0,0.0
Cherubism,72.0,72.0,1.0,1.0,72.0,72.0,1,1.0,0.0,0.0
Childhood absence epilepsy,141.0,123.8,5.0,1.0,141.0,123.8,5,1.0,0.0,0.0
Cholangiocarcinoma,606.0,1406.0882352941176,34.0,1.0,606.0,1406.0882352941176,34,1.0,0.0,0.0
Chordoma,92.0,92.0,1.0,1.0,92.0,92.0,1,1.0,0.0,0.0
Choreaacanthocytosis,105.0,105.0,1.0,1.0,105.0,105.0,1,1.0,0.0,0.0
Choroideremia,115.0,115.0,1.0,1.0,115.0,115.0,1,1.0,0.0,0.0
Christianson syndrome,55.0,55.0,1.0,1.0,55.0,55.0,1,1.0,0.0,0.0
Chromosome 15q13.3 microdeletion syndrome,46.0,46.0,1.0,1.0,46.0,46.0,1,1.0,0.0,0.0
Chromosome 15q24 deletion syndrome,46.0,46.0,1.0,1.0,46.0,46.0,1,1.0,0.0,0.0
Chromosome 18q deletion syndrome,58.0,114.0,3.0,1.0,58.0,114.0,3,1.0,0.0,0.0
Cerebrotendinous xanthomatosis,128.0,128.0,1.0,1.0,128.0,128.0,1,1.0,0.0,0.0
Chromosome 19p13.13 deletion syndrome,180.5,328.6666666666667,6.0,1.0,180.5,328.6666666666667,6,1.0,0.0,0.0
Chromosome 1p36 deletion syndrome,166.0,474.0,9.0,1.0,166.0,474.0,9,1.0,0.0,0.0
Chromosome 1q21.1 deletion syndrome,82.0,68.44444444444444,9.0,1.0,82.0,68.44444444444444,9,1.0,0.0,0.0
Chromosome 22q11.2 microduplication syndrome,103.0,103.0,1.0,1.0,103.0,103.0,1,1.0,0.0,0.0
Chromosome 2q37 deletion syndrome,366.0,366.0,1.0,1.0,366.0,366.0,1,1.0,0.0,0.0
Chromosome 5q deletion syndrome,284.0,284.0,1.0,0.3333333333333333,284.0,284.0,1,0.3333333333333333,0.0,0.0
Chronic atrial and intestinal dysrhythmia,88.0,88.0,1.0,1.0,88.0,88.0,1,1.0,0.0,0.0
Chronic granulomatous disease,199.0,216.72727272727272,6.0,1.0,199.0,216.72727272727272,6,1.0,0.0,0.0
Chronic myeloid leukemia,499.0,507.6666666666667,3.0,1.0,499.0,507.6666666666667,3,1.0,0.0,0.0
Chronic progressive external ophthalmoplegia,104.0,144.08333333333334,16.0,0.8888888888888888,104.0,144.08333333333334,16,0.8888888888888888,0.0,0.0
Chronic recurrent multifocal osteomyelitis,183.5,183.5,2.0,1.0,183.5,183.5,2,1.0,0.0,0.0
Chylomicron retention disease,69.0,69.0,1.0,1.0,69.0,69.0,1,1.0,0.0,0.0
Citrullinemia,227.5,227.5,2.0,1.0,227.5,227.5,2,1.0,0.0,0.0
Cleidocranial dysplasia,641.0,641.0,1.0,1.0,641.0,641.0,1,1.0,0.0,0.0
Chanarin-Dorfman syndrome,76.0,76.0,1.0,1.0,76.0,76.0,1,1.0,0.0,0.0
Cerebral folate receptor alpha deficiency,171.0,171.0,1.0,1.0,171.0,171.0,1,1.0,0.0,0.0
Bronchiectasis,183.5,183.5,2.0,1.0,183.5,183.5,2,1.0,0.0,0.0
Canavan disease,55.0,55.0,1.0,1.0,55.0,55.0,1,1.0,0.0,0.0
Brugada syndrome,77.0,141.46153846153845,16.0,1.0,77.0,141.46153846153845,16,1.0,0.0,0.0
Brunner Syndrome,651.0,651.0,1.0,1.0,651.0,651.0,1,1.0,0.0,0.0
Burn-McKeown syndrome,55.0,55.0,1.0,1.0,55.0,55.0,1,1.0,0.0,0.0
Buschke-Ollendorff syndrome,180.0,180.0,2.0,1.0,180.0,180.0,2,1.0,0.0,0.0
CADASIL,508.0,508.0,1.0,1.0,508.0,508.0,1,1.0,0.0,0.0
CAKUT,87.0,119.76470588235294,17.0,1.0,87.0,119.76470588235294,17,1.0,0.0,0.0
CHARGE syndrome,209.0,209.0,1.0,1.0,209.0,209.0,1,1.0,0.0,0.0
CHILD syndrome,113.0,113.0,1.0,1.0,113.0,113.0,1,1.0,0.0,0.0
CINCA Syndrome,304.0,551.6666666666666,3.0,1.0,304.0,551.6666666666666,3,1.0,0.0,0.0
CST3-related cerebral amyloid angiopathy,646.0,940.4,4.0,1.0,646.0,940.4,4,1.0,0.0,0.0
Caffey disease,856.0,856.0,1.0,1.0,856.0,856.0,1,1.0,0.0,0.0
Calcifying Epithelial Odontogenic Tumor,27.0,27.0,1.0,1.0,27.0,27.0,1,1.0,0.0,0.0
Campomelic dysplasia,567.0,567.0,1.0,1.0,567.0,567.0,1,1.0,0.0,0.0
Camurati-Engelmann disease,5005.0,5005.0,1.0,1.0,5005.0,5005.0,1,1.0,0.0,0.0
Carbamoyl phosphate synthetase I deficiency disease,167.0,167.0,1.0,1.0,167.0,167.0,1,1.0,0.0,0.0
Cerebral creatine deficiency syndrome 1,113.0,113.0,1.0,1.0,113.0,113.0,1,1.0,0.0,0.0
Cardiofaciocutaneous syndrome,1633.0,1644.0,4.0,1.0,1633.0,1644.0,4,1.0,0.0,0.0
Carney complex,343.0,343.0,1.0,1.0,343.0,343.0,1,1.0,0.0,0.0
Carnitine palmitoyltransferase I deficiency,221.0,221.0,1.0,1.0,221.0,221.0,1,1.0,0.0,0.0
Carnitine palmitoyltransferase II deficiency,128.0,128.0,1.0,1.0,128.0,128.0,1,1.0,0.0,0.0
Carpal tunnel syndrome,355.5,608.375,8.0,1.0,355.5,608.375,8,1.0,0.0,0.0
Carpenter syndrome,49.5,49.5,2.0,1.0,49.5,49.5,2,1.0,0.0,0.0
Castleman disease,183.5,183.5,2.0,1.0,183.5,183.5,2,1.0,0.0,0.0
Cataract,78.0,150.85416666666666,96.0,0.9696969696969697,78.0,150.85416666666666,96,0.9696969696969697,0.0,0.0
Catecholaminergic polymorphic ventricular tachycardia,241.0,251.33333333333334,6.0,1.0,241.0,251.33333333333334,6,1.0,0.0,0.0
Celiac disease,1197.0,1197.0,2.0,1.0,1197.0,1197.0,2,1.0,0.0,0.0
Central diabetes insipidus,333.0,333.0,1.0,1.0,333.0,333.0,1,1.0,0.0,0.0
Central precocious puberty,131.0,172.66666666666666,3.0,1.0,131.0,172.66666666666666,3,1.0,0.0,0.0
Centronuclear myopathy X-linked,99.0,99.0,1.0,1.0,99.0,99.0,1,1.0,0.0,0.0
Cerebral cavernous malformation,137.0,122.66666666666667,3.0,1.0,137.0,122.66666666666667,3,1.0,0.0,0.0
Clouston syndrome,166.0,166.0,1.0,1.0,166.0,166.0,1,1.0,0.0,0.0
Cockayne syndrome,273.0,312.125,6.0,1.0,273.0,312.125,6,1.0,0.0,0.0
Coenzyme Q10 deficiency disease,42.0,48.55555555555556,9.0,1.0,42.0,48.55555555555556,9,1.0,0.0,0.0
Creutzfeldt-Jakob disease,475.0,1017.625,8.0,1.0,475.0,1017.625,8,1.0,0.0,0.0
Congenital myopathy 5,467.0,467.0,1.0,1.0,467.0,467.0,1,1.0,0.0,0.0
Congenital nystagmus 1,63.0,63.0,1.0,1.0,63.0,63.0,1,1.0,0.0,0.0
Congenital stationary night blindness 1B,26.0,28.333333333333332,6.0,1.0,26.0,28.333333333333332,6,1.0,0.0,0.0
Congenital stromal corneal dystrophy,265.0,265.0,1.0,1.0,265.0,265.0,1,1.0,0.0,0.0
Congenital sucrase-isomaltase deficiency,49.0,49.0,1.0,1.0,49.0,49.0,1,1.0,0.0,0.0
Core binding factor acute myeloid leukemia,442.0,747.0,10.0,1.0,442.0,747.0,10,1.0,0.0,0.0
Corneal disease,247.0,304.4,5.0,1.0,247.0,529.6382978723404,36,0.972972972972973,0.0,225.23829787234047
Cornelia de Lange syndrome,223.0,255.71428571428572,7.0,1.0,223.0,255.71428571428572,7,1.0,0.0,0.0
Corticosterone methyloxidase deficiency 1,369.0,369.0,1.0,1.0,369.0,369.0,1,1.0,0.0,0.0
Costello syndrome,823.0,823.0,1.0,1.0,823.0,823.0,1,1.0,0.0,0.0
Cranioectodermal dysplasia,40.5,38.5,4.0,1.0,40.5,38.5,4,1.0,0.0,0.0
"Craniofacial dysmorphism, skeletal anomalies, and mental retardation syndrome",114.0,114.0,1.0,1.0,114.0,114.0,1,1.0,0.0,0.0
Craniofrontonasal syndrome,132.0,132.0,1.0,1.0,132.0,132.0,1,1.0,0.0,0.0
Craniometaphyseal dysplasia,424.5,424.5,2.0,1.0,424.5,424.5,2,1.0,0.0,0.0
Cri-Du-Chat syndrome,98.0,98.0,1.0,1.0,98.0,98.0,1,1.0,0.0,0.0
Coffin-Lowry syndrome,240.0,240.0,1.0,1.0,240.0,240.0,1,1.0,0.0,0.0
Crigler-Najjar syndrome,750.0,750.0,1.0,1.0,750.0,750.0,1,1.0,0.0,0.0
Crohn's disease,506.5,1156.7142857142858,14.0,1.0,506.5,1156.7142857142858,14,1.0,0.0,0.0
Crouzon syndrome,711.0,711.0,1.0,1.0,711.0,711.0,1,1.0,0.0,0.0
Crouzon syndrome-acanthosis nigricans syndrome,615.0,615.0,1.0,1.0,615.0,615.0,1,1.0,0.0,0.0
Cutis laxa,146.5,148.91666666666666,12.0,1.0,146.5,148.91666666666666,12,1.0,0.0,0.0
Cyclic hematopoiesis,336.0,336.0,1.0,1.0,336.0,336.0,1,1.0,0.0,0.0
Cystic fibrosis,304.0,770.3333333333334,3.0,1.0,304.0,770.3333333333334,3,1.0,0.0,0.0
Cystinosis,86.0,86.0,1.0,1.0,86.0,86.0,1,1.0,0.0,0.0
Cystinuria,73.5,73.5,2.0,1.0,73.5,73.5,2,1.0,0.0,0.0
Cytochrome P450 oxidoreductase deficiency,258.0,258.0,1.0,1.0,258.0,258.0,1,1.0,0.0,0.0
Kindler syndrome,94.0,94.0,1.0,1.0,94.0,94.0,1,1.0,0.0,0.0
DICER1 syndrome,648.0,648.0,1.0,1.0,648.0,648.0,1,1.0,0.0,0.0
DOID:0050747,304.0,279.3333333333333,3.0,1.0,304.0,279.3333333333333,3,1.0,0.0,0.0
DOID:12252,451.5,413.0,9.0,1.0,451.5,413.0,9,1.0,0.0,0.0
Congenital myopathy 4A,324.0,277.5,6.0,1.0,324.0,277.5,6,1.0,0.0,0.0
Congenital myopathy 1B,198.0,198.0,2.0,1.0,198.0,198.0,2,1.0,0.0,0.0
Congenital myopathy 1A,345.0,345.0,1.0,1.0,345.0,345.0,1,1.0,0.0,0.0
Congenital myasthenic syndrome,59.5,88.60526315789474,26.0,1.0,59.5,88.60526315789474,26,1.0,0.0,0.0
Coffin-Siris syndrome,232.0,311.0,10.0,1.0,232.0,311.0,10,1.0,0.0,0.0
Cohen syndrome,81.0,81.0,1.0,1.0,81.0,81.0,1,1.0,0.0,0.0
Coloboma,83.0,175.24418604651163,86.0,1.0,83.0,175.24418604651163,86,1.0,0.0,0.0
Combined malonic and methylmalonic acidemia,41.0,41.0,1.0,1.0,41.0,41.0,1,1.0,0.0,0.0
Combined oxidative phosphorylation deficiency 1,86.0,86.0,1.0,1.0,86.0,86.0,1,1.0,0.0,0.0
Combined oxidative phosphorylation deficiency 12,57.0,57.0,1.0,1.0,57.0,57.0,1,1.0,0.0,0.0
Common variable immunodeficiency,189.0,510.6923076923077,13.0,1.0,189.0,510.6923076923077,13,1.0,0.0,0.0
Complement component 2 deficiency,140.0,140.0,1.0,1.0,140.0,140.0,1,1.0,0.0,0.0
Complement factor I deficiency,143.0,143.0,1.0,1.0,143.0,143.0,1,1.0,0.0,0.0
Congenital afibrinogenemia,422.0,412.6666666666667,3.0,1.0,422.0,412.6666666666667,3,1.0,0.0,0.0
Congenital bilateral absence of vas deferens,1944.0,1944.0,1.0,1.0,1944.0,1944.0,1,1.0,0.0,0.0
Congenital bile acid synthesis defect 2,45.0,45.0,1.0,1.0,45.0,45.0,1,1.0,0.0,0.0
Congenital central hypoventilation syndrome,158.0,158.0,1.0,1.0,158.0,158.0,1,1.0,0.0,0.0
Congenital contractural arachnodactyly,118.0,118.0,1.0,1.0,118.0,118.0,1,1.0,0.0,0.0
Congenital diaphragmatic hernia,200.5,200.5,2.0,1.0,200.5,200.5,2,1.0,0.0,0.0
Congenital disorder of glycosylation Ia,113.0,113.0,1.0,1.0,113.0,113.0,1,1.0,0.0,0.0
Congenital disorder of glycosylation Ig,30.0,30.0,1.0,1.0,30.0,30.0,1,1.0,0.0,0.0
Congenital disorder of glycosylation Im,25.0,25.0,1.0,1.0,25.0,25.0,1,1.0,0.0,0.0
Congenital disorder of glycosylation type IIi,55.0,55.0,1.0,1.0,55.0,55.0,1,1.0,0.0,0.0
Congenital disorder of glycosylation type IIm,62.0,62.0,1.0,1.0,62.0,62.0,1,1.0,0.0,0.0
Congenital dyserythropoietic anemia,149.0,191.53846153846155,8.0,0.8888888888888888,149.0,191.53846153846155,8,0.8888888888888888,0.0,0.0
Congenital fibrosis of the extraocular muscles,126.5,166.5,4.0,1.0,126.5,166.5,4,1.0,0.0,0.0
Congenital generalized lipodystrophy,134.0,328.6,6.0,1.0,134.0,328.6,6,1.0,0.0,0.0
Congenital hypothyroidism,182.5,170.28125,20.0,1.0,182.5,170.28125,20,1.0,0.0,0.0
Congenital leptin deficiency,1911.0,1911.0,1.0,1.0,1911.0,1911.0,1,1.0,0.0,0.0
Congenital merosin-deficient muscular dystrophy 1A,134.0,134.0,1.0,1.0,134.0,134.0,1,1.0,0.0,0.0
Congenital mirror movement disorder,202.0,404.6666666666667,3.0,1.0,202.0,404.6666666666667,3,1.0,0.0,0.0
Congenital muscular dystrophy,59.0,104.3225806451613,31.0,1.0,59.0,112.08510638297872,31,1.0,0.0,7.762525737817427
Congenital muscular dystrophy due to LMNA mutation,1073.0,1073.0,1.0,1.0,1073.0,1073.0,1,1.0,0.0,0.0
Brooke-Spiegler syndrome,345.0,345.0,1.0,1.0,345.0,345.0,1,1.0,0.0,0.0
Brody myopathy,97.0,97.0,1.0,1.0,97.0,97.0,1,1.0,0.0,0.0
Dandy-Walker syndrome,53.0,108.0,3.0,1.0,53.0,108.0,3,1.0,0.0,0.0
Alternating hemiplegia of childhood,160.5,160.5,2.0,1.0,160.5,160.5,2,1.0,0.0,0.0
Age related macular degeneration,196.0,410.8775510204082,35.0,1.0,196.0,402.52941176470586,35,1.0,0.0,-8.348139255702336
Agenesis of the corpus callosum with peripheral neuropathy,69.0,69.0,1.0,1.0,69.0,69.0,1,1.0,0.0,0.0
Aicardi-Goutieres syndrome,103.5,193.5,8.0,0.8888888888888888,103.5,193.5,8,0.8888888888888888,0.0,0.0
Alagille syndrome,358.0,269.3333333333333,3.0,1.0,358.0,269.3333333333333,3,1.0,0.0,0.0
Alcohol use disorder,424.0,690.8,15.0,1.0,424.0,690.8,15,1.0,0.0,0.0
Alexander disease,380.0,380.0,1.0,1.0,380.0,380.0,1,1.0,0.0,0.0
Alkaptonuria,51.0,51.0,1.0,1.0,51.0,51.0,1,1.0,0.0,0.0
Allan-Herndon-Dudley syndrome,95.0,95.0,1.0,1.0,95.0,95.0,1,1.0,0.0,0.0
Alopecia areata,459.0,905.5777777777778,45.0,1.0,459.0,905.5777777777778,45,1.0,0.0,0.0
Alpers-Huttenlocher syndrome,349.0,349.0,1.0,1.0,349.0,349.0,1,1.0,0.0,0.0
Alpha 1-antitrypsin deficiency,760.0,760.0,1.0,1.0,760.0,760.0,1,1.0,0.0,0.0
Alpha thalassemia-X-linked intellectual disability syndrome,364.0,364.0,1.0,1.0,364.0,364.0,1,1.0,0.0,0.0
Alport syndrome,178.0,193.5,7.0,1.0,178.0,193.5,7,1.0,0.0,0.0
Alstrom syndrome,149.0,149.0,1.0,1.0,149.0,149.0,1,1.0,0.0,0.0
Alzheimer's disease,423.5,1367.1764705882354,26.0,0.9285714285714286,423.5,1367.1764705882354,26,0.9285714285714286,0.0,0.0
Adrenoleukodystrophy,173.0,173.0,1.0,1.0,173.0,173.0,1,1.0,0.0,0.0
Amelogenesis imperfecta,49.0,65.06122448979592,31.0,1.0,49.0,65.06122448979592,31,1.0,0.0,0.0
Amyotrophic lateral sclerosis,248.0,355.2957746478873,42.0,0.9767441860465116,248.0,352.2916666666667,42,0.9767441860465116,0.0,-3.0041079812206135
Amyotrophic neuralgia,283.0,283.0,1.0,1.0,283.0,283.0,1,1.0,0.0,0.0
Anauxetic dysplasia,106.0,106.0,2.0,1.0,106.0,106.0,2,1.0,0.0,0.0
Andersen-Tawil syndrome,165.5,165.5,2.0,1.0,165.5,165.5,2,1.0,0.0,0.0
Androgen insensitivity syndrome,2708.0,2708.0,1.0,1.0,2708.0,2708.0,1,1.0,0.0,0.0
Androgenic alopecia,2708.0,2708.0,1.0,1.0,2708.0,2708.0,1,1.0,0.0,0.0
Anencephaly,3862.0,3862.0,1.0,1.0,3862.0,3862.0,1,1.0,0.0,0.0
Angelman syndrome,132.0,199.33333333333334,3.0,1.0,132.0,199.33333333333334,3,1.0,0.0,0.0
Aniridia,420.0,420.0,1.0,1.0,420.0,420.0,1,1.0,0.0,0.0
Ankylosing spondylitis,328.0,718.1764705882352,17.0,1.0,328.0,718.1764705882352,17,1.0,0.0,0.0
Antithrombin III deficiency,303.0,303.0,1.0,1.0,303.0,303.0,1,1.0,0.0,0.0
Apolipoprotein A-I associated Amyloidosis,603.0,514.1666666666666,12.0,1.0,603.0,514.1666666666666,12,1.0,0.0,0.0
Apolipoprotein A-II associated Amyloidosis,226.0,1306.6,5.0,1.0,226.0,1306.6,5,1.0,0.0,0.0
African iron overload,208.0,208.0,1.0,1.0,208.0,208.0,1,1.0,0.0,0.0
Adermatoglyphia,87.0,87.0,1.0,1.0,87.0,87.0,1,1.0,0.0,0.0
Breast cancer,644.0,1373.3461538461538,26.0,1.0,644.0,1373.3461538461538,26,1.0,0.0,0.0
AH Amyloidosis,2668.5,2668.5,2.0,1.0,2668.5,2668.5,2,1.0,0.0,0.0
3-M syndrome,88.0,92.66666666666667,3.0,1.0,88.0,92.66666666666667,3,1.0,0.0,0.0
3-methylcrotonyl-CoA carboxylase deficiency,133.5,133.5,2.0,1.0,133.5,133.5,2,1.0,0.0,0.0
3-methylglutaconic aciduria type 1,40.0,40.0,1.0,1.0,40.0,40.0,1,1.0,0.0,0.0
3-methylglutaconic aciduria type 3,48.0,48.0,1.0,1.0,48.0,48.0,1,1.0,0.0,0.0
3-methylglutaconic aciduria type 5,53.0,53.0,1.0,1.0,53.0,53.0,1,1.0,0.0,0.0
"3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia",106.0,106.0,1.0,1.0,106.0,106.0,1,1.0,0.0,0.0
"3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome",35.0,35.0,1.0,1.0,35.0,35.0,1,1.0,0.0,0.0
3MC syndrome,38.0,72.0,3.0,1.0,38.0,72.0,3,1.0,0.0,0.0
"46,XX sex reversal",289.0,376.0,5.0,1.0,289.0,376.0,5,1.0,0.0,0.0
"46,XY sex reversal",104.0,162.72727272727272,11.0,1.0,104.0,162.72727272727272,11,1.0,0.0,0.0
7q11.23 duplication syndrome,325.5,325.5,2.0,1.0,325.5,325.5,2,1.0,0.0,0.0
AA Amyloidosis,187.0,1013.0,6.0,1.0,187.0,1013.0,6,1.0,0.0,0.0
ACTH-independent macronodular adrenal hyperplasia,205.0,358.7142857142857,7.0,1.0,205.0,358.7142857142857,7,1.0,0.0,0.0
AGAT deficiency,63.0,63.0,1.0,1.0,63.0,63.0,1,1.0,0.0,0.0
AHL Amyloidosis,2668.5,2668.5,2.0,1.0,2668.5,2668.5,2,1.0,0.0,0.0
Adenosine deaminase deficiency,268.0,268.0,1.0,1.0,268.0,268.0,1,1.0,0.0,0.0
