Disease,median_pubmed_filtered,mean_pubmed_filtered,n_genes_with_pubmed_filtered,coverage_filtered,median_pubmed_full,mean_pubmed_full,n_genes_with_pubmed_full,coverage_full,delta_median_full_minus_filtered,delta_mean_full_minus_filtered
Mandibuloacral dysplasia,597.5,597.5,2.0,1.0,597.5,597.5,2,1.0,0.0,0.0
"Mandibulofacial dysostosis, Guion-Almeida type",283.0,283.0,1.0,1.0,283.0,283.0,1,1.0,0.0,0.0
Maple syrup urine disease,108.0,102.625,5.0,1.0,108.0,102.625,5,1.0,0.0,0.0
Marfan syndrome,526.0,526.0,1.0,1.0,526.0,526.0,1,1.0,0.0,0.0
Marinesco-Sjogren syndrome,77.0,77.0,1.0,1.0,77.0,77.0,1,1.0,0.0,0.0
Marsili syndrome,203.0,203.0,1.0,1.0,203.0,203.0,1,1.0,0.0,0.0
Martsolf syndrome,110.5,96.0,4.0,1.0,110.5,96.0,4,1.0,0.0,0.0
McCune Albright syndrome,691.0,691.0,1.0,1.0,691.0,691.0,1,1.0,0.0,0.0
McKusick-Kaufman syndrome,65.0,65.0,1.0,1.0,65.0,65.0,1,1.0,0.0,0.0
McLeod syndrome,41.0,41.0,1.0,1.0,41.0,41.0,1,1.0,0.0,0.0
Meckel syndrome,38.0,55.125,8.0,1.0,38.0,55.125,8,1.0,0.0,0.0
Lissencephaly 1,182.5,215.25,4.0,1.0,182.5,215.25,4,1.0,0.0,0.0
Linear skin defects with multiple congenital anomalies 1,66.0,66.0,1.0,1.0,66.0,66.0,1,1.0,0.0,0.0
Nager acrofacial dysostosis,199.0,199.0,1.0,1.0,199.0,199.0,1,1.0,0.0,0.0
Lattice corneal dystrophy,485.5,1628.5,3.0,1.0,485.5,1628.5,3,1.0,0.0,0.0
Klippel-Trenaunay syndrome,1717.0,1717.0,1.0,1.0,1717.0,1717.0,1,1.0,0.0,0.0
Kniest dysplasia,381.0,381.0,1.0,1.0,381.0,381.0,1,1.0,0.0,0.0
Koolen de Vries syndrome,84.0,84.0,1.0,1.0,84.0,84.0,1,1.0,0.0,0.0
Krabbe disease,88.0,88.0,1.0,1.0,88.0,88.0,1,1.0,0.0,0.0
Kuru,863.0,863.0,1.0,1.0,863.0,863.0,1,1.0,0.0,0.0
LADD syndrome,615.0,484.3333333333333,3.0,1.0,615.0,484.3333333333333,3,1.0,0.0,0.0
Lacrimoauriculodentodigital syndrome 1,615.0,484.3333333333333,3.0,1.0,615.0,484.3333333333333,3,1.0,0.0,0.0
Lactose intolerance,223.5,223.5,2.0,1.0,223.5,223.5,2,1.0,0.0,0.0
Lafora disease,76.0,76.0,2.0,1.0,76.0,76.0,2,1.0,0.0,0.0
Langerhans-cell histiocytosis,523.0,1156.3333333333333,3.0,1.0,523.0,1156.3333333333333,3,1.0,0.0,0.0
Large congenital melanocytic nevus,1710.0,1710.0,2.0,1.0,1710.0,1710.0,2,1.0,0.0,0.0
Laron syndrome,346.0,346.0,1.0,1.0,346.0,346.0,1,1.0,0.0,0.0
Larsen syndrome,259.0,259.0,1.0,1.0,259.0,259.0,1,1.0,0.0,0.0
Lateral meningocele syndrome,508.0,508.0,1.0,1.0,508.0,508.0,1,1.0,0.0,0.0
Leber congenital amaurosis,68.0,83.02127659574468,28.0,1.0,68.0,83.02127659574468,28,1.0,0.0,0.0
Liddle syndrome,156.5,156.5,2.0,1.0,156.5,156.5,2,1.0,0.0,0.0
Leber hereditary optic neuropathy,32.0,73.66666666666667,3.0,0.23076923076923078,32.0,73.66666666666667,3,0.23076923076923078,0.0,0.0
Left ventricular noncompaction,278.5,328.8333333333333,12.0,0.9230769230769231,278.5,328.8333333333333,12,0.9230769230769231,0.0,0.0
Legg-Calve-Perthes disease,381.0,381.0,1.0,1.0,381.0,381.0,1,1.0,0.0,0.0
Legius syndrome,82.0,82.0,1.0,1.0,82.0,82.0,1,1.0,0.0,0.0
Leigh disease,66.0,101.84210526315789,63.0,0.8181818181818182,66.0,101.84210526315789,63,0.8181818181818182,0.0,0.0
Lennox-Gastaut syndrome,130.5,164.375,8.0,1.0,130.5,164.375,8,1.0,0.0,0.0
Leprosy,409.0,616.6666666666666,6.0,1.0,409.0,616.6666666666666,6,1.0,0.0,0.0
Leri-Weill dyschondrosteosis,138.0,138.0,1.0,1.0,138.0,138.0,1,1.0,0.0,0.0
Lesch-Nyhan syndrome,259.0,259.0,1.0,1.0,259.0,259.0,1,1.0,0.0,0.0
Leukocyte chemotactic factor 2 Amyloidosis,113.0,1797.6666666666667,3.0,1.0,113.0,1797.6666666666667,3,1.0,0.0,0.0
Leukoencephalopathy with vanishing white matter,105.0,105.8,5.0,1.0,105.0,105.8,5,1.0,0.0,0.0
