Disease,dataset,n_genes_total,n_genes_with_pubmed,coverage_pubmed,median_pubmed,mean_pubmed,p90_pubmed,gini_pubmed,median_rank,frac_in_top500,frac_in_top2000,frac_in_top10000,top_genes
Idiopathic generalized epilepsy,knowledge_full,7,7,1.0,153.0,155.0,281.4000000000001,0.3931533903884134,2981.0,0.0,0.14285714285714285,0.7142857142857143,SCN1A(399); SCN9A(203); GABRG2(168); SCN2A(153); SCN1B(84)
Episodic ataxia,knowledge_full,5,5,1.0,153.0,149.8,228.4,0.255807743658211,2981.0,0.0,0.2,1.0,CACNA1A(274); SLC1A3(160); SCN2A(153); KCNA1(95); FGF14(67)
ICD10:E23,knowledge_full,35,35,1.0,152.5,203.18421052631578,438.0000000000002,0.4713154145563364,3036.0,0.05263157894736842,0.3157894736842105,0.868421052631579,SOX2(815); FGFR1(758); BMP4(514); GH1(480); PAX6(420)
Intestinal pseudo-obstruction,knowledge_full,5,5,1.0,151.0,238.0,489.80000000000007,0.4618487394957983,3026.0,0.2,0.2,0.8,FLNA(697); MYLK(179); MYH11(151); ACTG2(127); LMOD1(36)
Treacher Collins syndrome,knowledge_full,3,3,1.0,151.0,155.66666666666666,222.2,0.23411848679514632,3025.0,0.0,0.3333333333333333,1.0,TCOF1(240); POLR1C(151); POLR1D(76)
ICD10:Q754,knowledge_full,3,3,1.0,151.0,155.66666666666666,222.2,0.23411848679514632,3025.0,0.0,0.3333333333333333,1.0,TCOF1(240); POLR1C(151); POLR1D(76)
Pseudoxanthoma elasticum,knowledge_full,1,1,1.0,151.0,151.0,151.0,0.0,3020.0,0.0,0.0,1.0,ABCC6(151)
Heart disease,knowledge_full,163,159,0.9754601226993865,149.0,249.39261744966444,628.9000000000001,0.5216826954293079,3076.0,0.12416107382550336,0.39932885906040266,0.8993288590604027,KRAS(3044); BRAF(2743); CAV1(1219); LMNA(1073); LMNA(1073)
ICD10:I5,knowledge_full,163,159,0.9754601226993865,149.0,249.39261744966444,628.9000000000001,0.5216826954293079,3076.0,0.12416107382550336,0.39932885906040266,0.8993288590604027,KRAS(3044); BRAF(2743); CAV1(1219); LMNA(1073); LMNA(1073)
ICD10:I51,knowledge_full,163,159,0.9754601226993865,149.0,249.39261744966444,628.9000000000001,0.5216826954293079,3076.0,0.12416107382550336,0.39932885906040266,0.8993288590604027,KRAS(3044); BRAF(2743); CAV1(1219); LMNA(1073); LMNA(1073)
ICD10:I519,knowledge_full,163,159,0.9754601226993865,149.0,249.39261744966444,628.9000000000001,0.5216826954293079,3076.0,0.12416107382550336,0.39932885906040266,0.8993288590604027,KRAS(3044); BRAF(2743); CAV1(1219); LMNA(1073); LMNA(1073)
ICD10:I4,knowledge_full,147,143,0.9727891156462585,149.0,245.5611510791367,625.0,0.5228528395166854,3076.0,0.11510791366906475,0.39568345323741005,0.89568345323741,KRAS(3044); BRAF(2743); LMNA(1073); LMNA(1073); LMNA(1073)
ICD10:I45,knowledge_full,45,45,1.0,149.0,240.66336633663366,685.0,0.49836517777749717,3076.0,0.18811881188118812,0.3564356435643564,0.8910891089108911,LMNA(1073); SCN5A(730); SCN5A(730); SCN5A(730); SCN5A(730)
